ts,tick_seq,hour,luminance_mean_1,T1_outflow,T2_outflow,total_outflow,T1_inflow,T2_inflow,total_inflow
2026-05-13T16:27:35+0900,401,16,117.38,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T16:37:48+0900,403,16,115.08,1.0,1.0,2.0,0.0,0.0,0.0
2026-05-13T16:53:06+0900,406,16,122.4,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-13T17:08:24+0900,409,17,117.32,3.0,1.0,4.0,0.0,0.0,0.0
2026-05-13T17:18:37+0900,411,17,116.48,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T17:39:04+0900,415,17,122.15,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T17:59:28+0900,419,17,114.84,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-13T18:14:46+0900,422,18,122.11,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T04:35:23+0900,543,4,72.27,15.0,11.0,26.0,0.0,0.0,0.0
2026-05-14T04:40:30+0900,544,4,113.02,0.0,4.0,4.0,0.0,0.0,0.0
2026-05-14T05:11:09+0900,550,5,130.71,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T05:46:51+0900,557,5,130.53,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T06:02:10+0900,560,6,137.42,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T06:22:34+0900,564,6,140.35,0.0,1.0,1.0,0.0,1.0,1.0
2026-05-14T06:27:40+0900,565,6,140.43,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T08:30:09+0900,589,8,120.84,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T08:40:21+0900,591,8,122.19,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-14T08:55:40+0900,594,8,125.9,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-14T09:00:46+0900,595,9,122.72,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T09:11:07+0900,597,9,123.35,0.0,1.0,1.0,0.0,0.0,0.0
2026-05-14T09:26:26+0900,600,9,123.5,0.0,6.0,6.0,0.0,0.0,0.0
2026-05-14T09:31:32+0900,601,9,123.72,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T09:41:44+0900,603,9,128.14,2.0,0.0,2.0,0.0,0.0,0.0
2026-05-14T09:51:56+0900,605,9,120.66,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T10:12:20+0900,609,10,120.61,1.0,1.0,2.0,0.0,0.0,0.0
2026-05-14T10:17:44+0900,610,10,121.59,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T10:27:56+0900,612,10,124.07,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T10:33:02+0900,613,10,210.05,2.0,2.0,4.0,0.0,0.0,0.0
2026-05-14T10:43:14+0900,615,10,121.97,1.0,0.0,1.0,0.0,1.0,1.0
2026-05-14T11:08:44+0900,620,11,121.31,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T11:18:57+0900,622,11,115.98,3.0,0.0,3.0,0.0,0.0,0.0
2026-05-14T11:34:15+0900,625,11,114.3,1.0,0.0,1.0,1.0,0.0,1.0
2026-05-14T11:44:27+0900,627,11,120.61,2.0,0.0,2.0,1.0,2.0,3.0
2026-05-14T11:49:33+0900,628,11,119.28,0.0,3.0,3.0,1.0,0.0,1.0
2026-05-14T11:54:39+0900,629,11,110.07,1.0,0.0,1.0,0.0,0.0,0.0
2026-05-14T11:59:46+0900,630,11,111.37,2.0,0.0,2.0,1.0,0.0,1.0
2026-05-14T12:04:53+0900,631,12,115.78,1.0,0.0,1.0,1.0,0.0,1.0
